yearmonth,IUCR,Primary Type,Description,FBI Code,count
2020-02,5013,OTHER OFFENSE,VIOLATION OF SUMMARY CLOSURE,26,1
2019-12,031B,ROBBERY,ARMED - OTHER FIREARM,03,2
2020-03,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,15,3
2019-12,0895,THEFT,FROM COIN-OP MACHINE/DEVICE,06,1
2020-06,0610,BURGLARY,FORCIBLE ENTRY,05,482
2020-04,1025,ARSON,AGGRAVATED,09,5
2020-10,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",07,22
2020-10,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,07,12
2020-04,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,04A,1
2020-04,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,17,1
2017-03,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,3
2021-06,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,18,35
2020-11,0264,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,02,1
2020-12,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,18,20
2021-03,1570,SEX OFFENSE,PUBLIC INDECENCY,17,9
2021-06,1025,ARSON,AGGRAVATED,09,3
2013-12,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,1
2018-08,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,16,2
2006-07,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,1
2019-04,0620,BURGLARY,UNLAWFUL ENTRY,05,235
2019-03,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,04B,91
2019-05,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,24,110
2019-04,1540,OBSCENITY,OBSCENE MATTER,26,1
2019-07,4220,KIDNAPPING,AGGRAVATED,26,2
2019-06,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,04B,1
2019-04,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,03,1
2019-06,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,03,1
2019-07,500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,26,1
2019-12,2027,NARCOTICS,POSS: CRACK,18,87
2020-01,041A,BATTERY,AGGRAVATED - HANDGUN,04B,68
2019-11,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,26,11
2020-02,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,05,23
2019-11,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,26,9
2020-03,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,26,28
2009-01,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,2
2019-07,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,17,1
2020-02,0320,ROBBERY,STRONGARM: NO WEAPON,03,5
2020-09,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,07,50
2011-08,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,2
2020-03,4255,KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,26,2
2020-09,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04B,62
2020-07,0583,STALKING,CYBERSTALKING,08A,5
2020-05,1565,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,17,6
2020-05,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,26,6
2020-10,1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,13,2
2020-04,2015,NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,18,2
2020-04,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,26,4
2021-01,0860,THEFT,RETAIL THEFT,06,421
2021-01,3960,INTIMIDATION,INTIMIDATION,08A,7
2021-01,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,10,24
2021-01,2021,NARCOTICS,POSSESS - BARBITURATES,18,12
2021-03,0850,THEFT,ATTEMPT THEFT,06,16
2020-12,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,26,1
2021-01,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,15,6
2019-02,1585,SEX OFFENSE,OTHER,17,11
2019-01,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,11,10
2019-02,2020,NARCOTICS,POSS: AMPHETAMINES,18,1
2018-11,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,15,2
2018-11,0142,HOMICIDE,RECKLESS HOMICIDE,01B,1
2019-07,2026,NARCOTICS,POSS: PCP,18,27
2019-06,1020,ARSON,BY FIRE,09,21
2019-06,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,15,11
2019-05,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,03,5
2019-06,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,11,17
2019-03,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,24,15
2019-04,2091,NARCOTICS,FORFEIT PROPERTY,18,7
2019-03,1661,GAMBLING,GAME/DICE,19,4
2019-05,1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR,20,2
2019-07,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,16,1
2020-02,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,18,31
2019-11,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,20,26
2019-10,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,26,55
2020-01,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,5
2019-11,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",11,34
2019-12,0462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,04B,3
2019-12,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,04A,5
2019-09,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,17,8
2019-09,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11,7
2020-03,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,26,30
2019-09,0556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,04A,1
2020-02,4625,OTHER OFFENSE,PAROLE VIOLATION,26,1
2020-02,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",08A,10
2020-08,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,26,19
2020-06,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,14,56
2020-06,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,63
2020-03,2210,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,22,4
2020-05,2091,NARCOTICS,FORFEIT PROPERTY,18,13
2020-09,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,26,2
2020-07,1170,DECEPTIVE PRACTICE,IMPERSONATION,11,1
2020-08,2029,NARCOTICS,POSSESS - HEROIN (BLACK TAR),18,1
2020-10,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,17,20
2020-06,501H,OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION,26,2
2020-08,1335,CRIMINAL TRESPASS,TO AIRPORT,26,3
2021-01,2024,NARCOTICS,POSSESS - HEROIN (WHITE),18,106
2021-01,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,18,14
2018-10,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,20,3
2018-12,2031,NARCOTICS,POSS: METHAMPHETAMINES,18,3
2018-08,0271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,02,1
2018-10,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,17,1
2018-07,0585,NON-CRIMINAL,NOTIFICATION OF STALKING - NO CONTACT ORDER,26,1
2018-12,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,15,1
2019-03,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,11,128
2019-04,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,18,1
2019-03,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,18,49
2019-08,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,17,29
2019-07,0583,STALKING,CYBERSTALKING,08A,3
2019-07,0927,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",07,1
2019-08,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,24,6
2020-02,0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,04A,3
2019-12,0330,ROBBERY,AGGRAVATED,03,45
2019-11,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11,15
2019-08,2024,NARCOTICS,POSSESS - HEROIN (WHITE),18,16
2019-08,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,02,2
2020-01,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,03,8
2020-02,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,04A,6
2020-02,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,24,2
2006-02,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,2
2020-01,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,15,2
2019-09,1515,PROSTITUTION,PANDERING,16,1
2020-07,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,26,189
2020-03,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,11,17
2020-04,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,20,37
2020-06,0935,MOTOR VEHICLE THEFT,"THEFT / RECOVERY - TRUCK, BUS, MOBILE HOME",07,5
2020-10,4255,KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,26,8
2020-03,2032,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES,18,1
2021-01,0620,BURGLARY,UNLAWFUL ENTRY,05,158
2021-01,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,07,730
2021-02,0880,THEFT,PURSE-SNATCHING,06,14
2021-05,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,24,2
2021-05,0650,BURGLARY,HOME INVASION,05,31
2021-03,0485,BATTERY,AGGRAVATED OF A CHILD,04B,4
2001-05,0860,THEFT,RETAIL THEFT,06,1
2019-08,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,08B,48
2019-05,2022,NARCOTICS,POSS: COCAINE,18,40
2019-07,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,11,43
2019-04,5132,OTHER OFFENSE,VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,26,4
2019-05,0266,CRIM SEXUAL ASSAULT,PREDATORY,02,5
2019-04,1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,16,1
2019-05,1536,PUBLIC INDECENCY,LICENSED PREMISE,17,3
2019-04,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,11,1
2019-07,0556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,04A,2
2019-09,2022,NARCOTICS,POSS: COCAINE,18,55
2019-11,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,18,58
2020-01,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,04B,8
2019-11,2015,NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,18,1
2020-03,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,18,15
2019-11,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,14,10
2019-10,0273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,02,1
2019-11,1580,SEX OFFENSE,SEXUAL RELATIONS IN FAMILY,17,1
2019-10,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04A,1
2020-10,0325,ROBBERY,VEHICULAR HIJACKING,03,67
2020-07,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,25
2020-06,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,02,17
2016-01,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,02,1
2020-10,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",07,19
2020-08,1850,NARCOTICS,CANNABIS PLANT,18,1
2021-02,0610,BURGLARY,FORCIBLE ENTRY,05,218
2021-05,0320,ROBBERY,STRONG ARM - NO WEAPON,03,129
2020-12,0880,THEFT,PURSE-SNATCHING,06,20
2021-04,0610,BURGLARY,FORCIBLE ENTRY,05,207
2021-06,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,11,89
2021-04,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,12,5
2021-03,0337,ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,03,3
2020-11,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,18,13
2019-02,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,26,3
2019-02,031B,ROBBERY,ARMED: OTHER FIREARM,03,7
2018-09,5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,26,1
2019-04,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,1946
2019-07,0320,ROBBERY,STRONGARM - NO WEAPON,03,302
2019-03,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,18,109
2019-04,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,24,6
2019-08,1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,11,1
2019-05,4625,OTHER OFFENSE,PAROLE VIOLATION,26,1
2019-12,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,24,78
2019-12,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,18,42
2019-11,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,8
2019-11,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,03,23
2019-09,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,24,3
2019-08,0142,HOMICIDE,RECKLESS HOMICIDE,01B,2
2020-09,1330,CRIMINAL TRESPASS,TO LAND,26,184
2020-07,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,11,89
2020-09,5011,OTHER OFFENSE,LICENSE VIOLATION,26,48
2020-07,0330,ROBBERY,AGGRAVATED,03,37
2020-08,0650,BURGLARY,HOME INVASION,05,13
2020-10,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,14,4
2018-09,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,26,1
2020-05,1585,SEX OFFENSE,OTHER,17,3
2020-07,2895,PUBLIC PEACE VIOLATION,INTERFERE WITH EMERGENCY EQUIPMENT,24,2
2021-02,2023,NARCOTICS,POSSESS - HEROIN (TAN / BROWN TAR),18,2
2021-07,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,184
2021-06,3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,26,2
2021-02,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,8
2021-06,1020,ARSON,BY FIRE,09,40
2021-05,0261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,02,6
2020-11,1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,13,3
2021-06,4800,OTHER OFFENSE,MONEY LAUNDERING,26,1
2021-04,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,26,11
2019-03,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,26,36
2019-07,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,02,13
2019-07,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),18,26
2019-06,2021,NARCOTICS,POSS: BARBITUATES,18,21
2019-07,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,26,8
2019-08,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,04B,1
2019-04,1025,ARSON,AGGRAVATED,09,3
2019-03,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,26,2
2019-10,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,14,66
2020-01,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,24,80
2020-03,1570,SEX OFFENSE,PUBLIC INDECENCY,17,10
2019-09,1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,16,1
2020-03,3970,INTIMIDATION,EXTORTION,26,5
2020-09,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,24,10
2020-09,0865,THEFT,DELIVERY CONTAINER THEFT,06,1
2006-06,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,2
2021-05,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,07,684
2021-01,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,03,22
2021-05,0291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,02,10
2021-05,4240,KIDNAPPING,FORCIBLE DETENTION,26,1
2020-11,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,26,10
2021-01,5112,OTHER OFFENSE,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,26,1
2018-08,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",04B,1
2019-03,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11,354
2019-04,2017,NARCOTICS,MANU/DELIVER:CRACK,18,46
2019-07,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,26,60
2019-06,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04B,3
2019-03,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,03,29
2007-04,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,2
2019-04,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,24,8
2019-03,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,17,11
2019-05,1025,ARSON,AGGRAVATED,09,5
2019-06,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,20,3
2019-08,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,04A,5
2019-03,0264,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,02,1
2019-04,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,26,1
2020-01,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,26,88
2020-02,2025,NARCOTICS,POSS: HALLUCINOGENS,18,10
2020-01,0620,BURGLARY,UNLAWFUL ENTRY,05,224
2020-01,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,20,24
2019-10,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,04B,22
2019-11,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,03,19
2020-01,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,03,1
2019-09,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,11,2
2019-07,5004,SEX OFFENSE,ATTEMPT CRIMINAL SEXUAL ABUSE,17,1
2020-05,3100,PUBLIC PEACE VIOLATION,MOB ACTION,24,13
2020-07,0927,MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",07,1
2020-05,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,26,17
2020-05,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,04B,64
2020-09,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04A,106
2020-04,0850,THEFT,ATTEMPT THEFT,06,18
2020-03,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,18,24
2020-07,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15,6
2020-10,2011,NARCOTICS,MANUFACTURE / DELIVER - BARBITURATES,18,1
2020-10,0142,HOMICIDE,RECKLESS HOMICIDE,01B,2
2020-10,1450,WEAPONS VIOLATION,DEFACE IDENTIFICATION MARKS OF FIREARM,15,1
2021-01,031B,ROBBERY,ARMED - OTHER FIREARM,03,5
2021-04,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,26,10
2021-04,143C,WEAPONS VIOLATION,UNLAWFUL POSSESSION - AMMUNITION,15,6
2021-05,0331,ROBBERY,ATTEMPT AGGRAVATED,03,2
2021-06,1821,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,18,3
2021-04,4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,26,1
2021-03,0558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,04A,6
2018-10,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),18,1
2018-09,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,17,1
2019-07,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,04B,99
2019-07,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,02,70
2019-07,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,197
2019-02,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02,2
2019-07,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,20,3
2019-06,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,18,1
2019-06,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",11,1
2019-10,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,04B,73
2019-12,1365,CRIMINAL TRESPASS,TO RESIDENCE,26,113
2020-01,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,04B,22
2019-12,0880,THEFT,PURSE-SNATCHING,06,32
2019-12,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,11,7
2019-11,0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,02,3
2019-11,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,15,8
2020-01,2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,18,1
2020-02,0340,ROBBERY,ATTEMPT STRONG ARM: NO WEAPON,03,1
2020-04,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,14,58
2020-04,1360,CRIMINAL TRESPASS,TO VEHICLE,26,51
2020-05,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",07,30
2020-08,2011,NARCOTICS,MANUFACTURE / DELIVER - BARBITURATES,18,1
2020-08,2027,NARCOTICS,POSSESS - CRACK,18,46
2020-10,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,20,37
2020-10,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,7
2020-02,2016,NARCOTICS,MANUFACTURE / DELIVER - PCP,18,1
2020-06,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,11,3
2020-04,0557,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,04A,2
2020-04,2020,NARCOTICS,POSSESS - AMPHETAMINES,18,1
2020-10,1680,GAMBLING,OTHER,19,1
2021-03,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,20,26
2020-12,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,26,29
2021-07,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,24,5
2021-06,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,26,35
2021-02,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,03,9
2021-01,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,24,1
2018-12,4240,KIDNAPPING,FORCIBLE DETENTION,26,1
2019-07,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,04A,102
2019-06,5011,OTHER OFFENSE,LICENSE VIOLATION,26,17
2019-04,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",11,45
2019-03,1537,OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT,26,2
2019-04,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,17,1
2019-03,0450,BATTERY,AGGRAVATED PO: HANDGUN,04B,1
2019-11,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,18,79
2019-09,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,08A,15
2020-01,2020,NARCOTICS,POSS: AMPHETAMINES,18,5
2020-01,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,15,2
2020-06,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15,7
2020-09,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,04B,27
2020-08,3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,24,1
2020-07,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,101
2020-06,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,18,9
2020-09,1090,ARSON,ATTEMPT ARSON,09,5
2020-10,2033,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC MARIJUANA,18,1
2020-03,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,22,2
2020-10,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,22,1
2020-06,502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,26,1
2020-09,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,24,2
2020-10,0927,MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",07,1
2021-04,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,26,46
2021-04,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,15,26
2020-12,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,24,17
2020-12,3970,INTIMIDATION,EXTORTION,26,3
2021-04,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,11
2021-01,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,11,11
